2025-02-23 18:42:04 - System Idle Process (PID: 0) - CPU: 1456.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:42:44 - System Idle Process (PID: 0) - CPU: 1438.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:42:50 - System Idle Process (PID: 0) - CPU: 1436.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:43:04 - System Idle Process (PID: 0) - CPU: 1438.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:43:44 - System Idle Process (PID: 0) - CPU: 1453.7%, MEM: 4.972975607305997e-05%
2025-02-23 18:43:50 - System Idle Process (PID: 0) - CPU: 1456.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:44:04 - System Idle Process (PID: 0) - CPU: 1460.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:44:44 - System Idle Process (PID: 0) - CPU: 1440.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:44:50 - System Idle Process (PID: 0) - CPU: 1440.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:45:04 - System Idle Process (PID: 0) - CPU: 1435.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:45:44 - System Idle Process (PID: 0) - CPU: 1431.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:45:50 - System Idle Process (PID: 0) - CPU: 1428.5%, MEM: 4.972975607305997e-05%
2025-02-23 18:46:04 - System Idle Process (PID: 0) - CPU: 1432.3%, MEM: 4.972975607305997e-05%
2025-02-23 18:46:44 - System Idle Process (PID: 0) - CPU: 1459.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:46:50 - System Idle Process (PID: 0) - CPU: 1462.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:47:04 - System Idle Process (PID: 0) - CPU: 1460.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:47:44 - System Idle Process (PID: 0) - CPU: 1429.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:47:50 - System Idle Process (PID: 0) - CPU: 1429.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:48:04 - System Idle Process (PID: 0) - CPU: 1433.0%, MEM: 4.972975607305997e-05%
2025-02-23 18:48:44 - System Idle Process (PID: 0) - CPU: 1459.9%, MEM: 4.972975607305997e-05%
2025-02-23 18:48:50 - System Idle Process (PID: 0) - CPU: 1460.1%, MEM: 4.972975607305997e-05%
2025-02-23 18:49:04 - System Idle Process (PID: 0) - CPU: 1457.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:49:44 - System Idle Process (PID: 0) - CPU: 1424.8%, MEM: 4.972975607305997e-05%
2025-02-23 18:49:50 - System Idle Process (PID: 0) - CPU: 1425.6%, MEM: 4.972975607305997e-05%
2025-02-23 18:50:04 - System Idle Process (PID: 0) - CPU: 1425.4%, MEM: 4.972975607305997e-05%
2025-02-23 18:50:44 - System Idle Process (PID: 0) - CPU: 1457.1%, MEM: 4.972975607305997e-05%
