2025-02-23 18:06:49 - addr(ip='127.0.0.1', port=59387) -> addr(ip='127.0.0.1', port=59386) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=57858) -> addr(ip='18.164.217.101', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54530) -> addr(ip='23.53.243.15', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=58958) -> addr(ip='104.18.32.47', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='127.0.0.1', port=56053) -> addr(ip='127.0.0.1', port=56051) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61828) -> addr(ip='34.120.32.134', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=58963) -> addr(ip='104.18.32.47', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54524) -> addr(ip='172.64.146.88', port=8443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=59001) -> addr(ip='140.82.112.25', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54468) -> addr(ip='20.190.146.33', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54546) -> addr(ip='13.107.3.254', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='127.0.0.1', port=59386) -> addr(ip='127.0.0.1', port=59387) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61919) -> addr(ip='23.10.239.251', port=80) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=56516) -> addr(ip='18.66.78.23', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=57690) -> addr(ip='104.18.40.25', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=57686) -> addr(ip='172.65.217.212', port=5223) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=57794) -> addr(ip='172.64.147.231', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54545) -> addr(ip='150.171.69.254', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61797) -> addr(ip='104.18.34.210', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54505) -> addr(ip='13.69.239.73', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=60572) -> addr(ip='18.164.217.101', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54556) -> addr(ip='13.107.5.93', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61791) -> addr(ip='104.18.34.210', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=59429) -> addr(ip='18.164.217.50', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=55152) -> addr(ip='142.251.175.188', port=5228) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=49409) -> addr(ip='20.198.118.190', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54528) -> addr(ip='103.207.170.2', port=53) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54552) -> addr(ip='13.107.5.93', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=58914) -> addr(ip='172.64.153.46', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=56353) -> addr(ip='18.164.217.101', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54548) -> addr(ip='204.79.197.222', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=61762) -> addr(ip='23.219.172.56', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54557) -> addr(ip='13.107.246.48', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54532) -> addr(ip='20.190.146.33', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54551) -> addr(ip='34.120.32.134', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54511) -> addr(ip='175.111.128.6', port=53) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54484) -> addr(ip='104.18.157.37', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54527) -> addr(ip='52.182.143.212', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54547) -> addr(ip='4.150.240.10', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54535) -> addr(ip='23.57.74.64', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54541) -> addr(ip='20.189.173.27', port=443) - ESTABLISHED
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=54554) -> addr(ip='13.107.5.93', port=443) - TIME_WAIT
2025-02-23 18:06:49 - addr(ip='192.168.1.36', port=59009) -> addr(ip='104.18.34.210', port=443) - ESTABLISHED
